,type,element_id,text,metadata,filename,page_number,coordinates,text_as_html,filetype,languages,last_modified,parent_id,label
0,Title,8f417170bbcb181fbd18e2671d9d3282,Chapter 1 1,"{'coordinates': {'points': ((219.0, 238.0), (219.0, 356.0), (674.0, 356.0), (674.0, 238.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
1,NarrativeText,ee424e57cfe3b8a97838015755a47607,"Everyday we hear sounds from various sources like humans, birds, bells, machines, vehicles, televisions, radios etc. Sound is a form of energy which produces a sensation of hearing in our ears. There are also other forms of energy like mechanical energy, light energy, etc. We have talked about mechanical energy in the previous chapters. You have been taught about conservation of energy, which states that we can neither create nor destroy energy. We can just change it from one form to another. When you clap, a sound is produced. Can you produce sound without utilising your energy? Which form of energy did you use to produce sound? In this chapter we are going to learn how sound is produced and how it is transmitted through a medium and received by our ears.","{'coordinates': {'points': ((216.0, 588.0), (216.0, 1196.0), (846.0, 1196.0), (846.0, 588.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '8f417170bbcb181fbd18e2671d9d3282', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,8f417170bbcb181fbd18e2671d9d3282,
2,Title,a8f4eb32124bb80cde30ff34d4d23a9b,11.1 Production of Sound,"{'coordinates': {'points': ((220.0, 1235.0), (220.0, 1270.0), (702.0, 1270.0), (702.0, 1235.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
3,Title,4140dd50e8ce357aca42c409eb4b2a3b,Activity 11.1,"{'coordinates': {'points': ((232.0, 1318.0), (232.0, 1367.0), (795.0, 1367.0), (795.0, 1318.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
4,NarrativeText,7bb87f8faf9e3471d4bd7d8aa2196a6d,. Take a tuning fork and set it vibrating by striking its prong on a rubber pad. Bring it near your ear.,"{'coordinates': {'points': ((255.0, 1390.0), (255.0, 1477.0), (806.0, 1477.0), (806.0, 1390.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '4140dd50e8ce357aca42c409eb4b2a3b', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,4140dd50e8ce357aca42c409eb4b2a3b,
5,NarrativeText,97f34d2b0222513c592fa164c44d6400,Do you hear any sound?,"{'coordinates': {'points': ((317.0, 1482.0), (317.0, 1507.0), (633.0, 1507.0), (633.0, 1482.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '4140dd50e8ce357aca42c409eb4b2a3b', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,4140dd50e8ce357aca42c409eb4b2a3b,
6,NarrativeText,6a1fd002b990fb880bc4318c46f86b6f,Touch one of the prongs of the vibrating tuning fork with your finger and share your experience with your friends.,"{'coordinates': {'points': ((316.0, 1513.0), (316.0, 1600.0), (806.0, 1600.0), (806.0, 1513.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '4140dd50e8ce357aca42c409eb4b2a3b', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,4140dd50e8ce357aca42c409eb4b2a3b,
7,NarrativeText,3a937d3f63962d8680b0b3cb40da3fd0,". Now, suspend a table tennis ball or a small plastic ball by a thread from a support [Take a big needle and a thread, put a knot at one end of the thread, and then with the help of the needle pass the thread through the ball]. Touch the ball gently with the prong of a vibrating tuning fork (Fig. 11.1).","{'coordinates': {'points': ((255.0, 1606.0), (255.0, 1877.0), (806.0, 1877.0), (806.0, 1606.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '4140dd50e8ce357aca42c409eb4b2a3b', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,4140dd50e8ce357aca42c409eb4b2a3b,
8,NarrativeText,812b178266d0022134b7482913028f80,. Observe what happens and discuss with your friends.,"{'coordinates': {'points': ((255.0, 1883.0), (255.0, 1939.0), (805.0, 1939.0), (805.0, 1883.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '4140dd50e8ce357aca42c409eb4b2a3b', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,4140dd50e8ce357aca42c409eb4b2a3b,
9,Title,a7c0d7eafc8a17d6f0b7c85c6389a9f6,096acHi2,"{'coordinates': {'points': ((1376.0, 344.0), (1376.0, 353.0), (1438.0, 353.0), (1438.0, 344.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
10,Title,9eca1d7c0f6a433acfd9fdf8e44db917,SounD,"{'coordinates': {'points': ((1267.0, 411.0), (1267.0, 480.0), (1522.0, 480.0), (1522.0, 411.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
11,Title,7503e75051f158e42231d2f892321797,Table tennis ball,"{'coordinates': {'points': ((1243.0, 841.0), (1243.0, 856.0), (1413.0, 856.0), (1413.0, 841.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
12,NarrativeText,b74d00b034bd8f23362d67e314add10f,Lie Vibrating tuning fork,"{'coordinates': {'points': ((1175.0, 964.0), (1175.0, 984.0), (1458.0, 984.0), (1458.0, 964.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '7503e75051f158e42231d2f892321797', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,7503e75051f158e42231d2f892321797,
13,NarrativeText,b6f8da4cf66d97339ee231278d751158,Fig. 11.1: Vibrating tuning fork just touching the suspended table tennis ball.,"{'coordinates': {'points': ((898.0, 1082.0), (898.0, 1136.0), (1527.0, 1136.0), (1527.0, 1082.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': '7503e75051f158e42231d2f892321797', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,7503e75051f158e42231d2f892321797,
14,Title,de3ad486b59554aba41c978a80084859,Activity 11.2,"{'coordinates': {'points': ((910.0, 1183.0), (910.0, 1233.0), (1475.0, 1233.0), (1475.0, 1183.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
15,NarrativeText,feefb9542ad9af2aad76f5142974bc73,"e Fill water in a beaker or a glass up to the brim. Gently touch the water surface with one of the prongs of the vibrating tuning fork, as shown in Fig. 11.2.","{'coordinates': {'points': ((934.0, 1256.0), (934.0, 1376.0), (1487.0, 1376.0), (1487.0, 1256.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
16,NarrativeText,816e039b8cefddffe87a188537ef068e,"e Next dip the prongs of the vibrating tuning fork in water, as shown in Fig.","{'coordinates': {'points': ((934.0, 1382.0), (934.0, 1439.0), (1487.0, 1439.0), (1487.0, 1382.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
17,UncategorizedText,2451c2bfdf7e91285b95fa620fc82468,11.3.,"{'coordinates': {'points': ((1000.0, 1447.0), (1000.0, 1466.0), (1059.0, 1466.0), (1059.0, 1447.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
18,NarrativeText,f87c298cddf84cbc787d14d27cb8a702,e Observe what happens in both the cases.,"{'coordinates': {'points': ((934.0, 1478.0), (934.0, 1528.0), (1486.0, 1528.0), (1486.0, 1478.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
19,NarrativeText,a589599b037a90b57bb7ae8eaa5b1e6b,e Discuss with your friends why this happens.,"{'coordinates': {'points': ((934.0, 1541.0), (934.0, 1597.0), (1486.0, 1597.0), (1486.0, 1541.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
20,NarrativeText,6eec7b0c92fdb31d8f29e46703748a8e,‘Vibrating tuning fork,"{'coordinates': {'points': ((1194.0, 1622.0), (1194.0, 1642.0), (1410.0, 1642.0), (1410.0, 1622.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
21,ListItem,829fe478ae277ed3f59c5359f94419ab,Glass,"{'coordinates': {'points': ((1248.0, 1721.0), (1248.0, 1737.0), (1314.0, 1737.0), (1314.0, 1721.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'parent_id': 'de3ad486b59554aba41c978a80084859', 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,de3ad486b59554aba41c978a80084859,
22,Title,a320c91252989dcc7f73e3d8012d6cf7,~ Water,"{'coordinates': {'points': ((1247.0, 1764.0), (1247.0, 1778.0), (1317.0, 1778.0), (1317.0, 1764.0)), 'system': 'PixelSpace', 'layout_width': 1700, 'layout_height': 2280}, 'filetype': 'application/pdf', 'languages': ['eng'], 'last_modified': '2024-09-24T04:32:44', 'page_number': 1, 'filename': 'iesc111.pdf'}",,,,,application/pdf,['eng'],2024-09-24T04:32:44,,
